Composer	Title	Where	Sung
Hurford	Sunny bank	CfC3 p36	
Hutchings	Hosanna to the Son of David	Ash p84	
Ingegneri	In monte oliveti	1stCh p10	
Ireland	Greater love hath no man	AfC4 p174; ECM1 p132	🟢
Isaac	Gustate et videte	5thCh p9	
Isaac	Ierusalem surge	5thCh p11	
Isom	King of all ages, throned on high	NOEAB p123	🟢
Ives, G. 	Ride on	Ash p87	
Ives, G. 	This is the record of John	Adv p187	
Jackson	I look from afar	Adv p101	
Jackson	Lift up your heads	AfC4 p43	
Jackson	Lo, God is here	AfC1 p88	
Jackson	Tomorrow go ye forth	Adv p195	
Jacob	O Lord, I will praise Thee	OEAB p123	
Jacques	I saw three ships	CfC1 p56	
Jacques	When Christ was born	CfC1 p165	
Jacques (arr.)	Angels, from the realms of glory	CfC1 p16	
Jacques (arr.)	Away in a manger	CfC1 p3	🟢
Jacques (arr.)	Patapan	CfC2 p212	
Jacques (arr.)	Rejoice and be merry	CfC1 p102	
Jacques (arr.)	The Holly and the Ivy	CfC1 p130	🟢
Jacques (arr.)	The linden tree carol	CfC1 p110	
John IV	Crux fidelis	NCAB p112; Ash p136	🟢
Johnson	Dum transisset	2ndCh p16	
Josquin des Près	Ave Maria	5thCh p13	🟢
Josquin des Près	Tu solus	5thCh p21	
Joubert	O Lorde, the maker of al thing	NCAB p310	
Joubert	Torches	CfC1 p150	
Kirkpatrick	Away in a manger	CfC1 p2	
Kocher	As with gladness men of old	CfC1 p8	
Kodály (arr.)	A Christmas Carol	CfC1 p18	
Lassus	Adoramus te. Christe	Ash p69	🟢
Lassus	Improperium	5thCh p25	
Lassus	Jubilate Deo	5thCh p28	
Lassus	Scio enim	5thCh p31	
Lassus	Super flumina Babylonis	NCAB p431	
Ledger	Adam lay ybounden	Adv p1	
Ledger	Loving Shepherd of thy sheep	NOEAB p148	
Ledger (arr.)	This joyful Eastertide	Ash p186	
Leighton	A hymn to the Trinity	AfC4 p67	
Leighton	Solus ad victimam	NCAB p413; AfC1 p13	
Leuner	The shepherds' cradle song	CfC2 p123	
Ley	Come, Thou long expected Jesus	OEAB p4	
Ley	Lo, round the throne a glorious band	NCAB p215	🟢
Ley	The strife is o'er	NCAB p448	
Ley (arr.)	A Choral Hymn for Advent or Ascensiontide)	OEAB p68	
Lewis	The souls of the righteous	ECM1 p141	
Lindley (arr.)	Now the green blade riseth	Ash p190	
Lloyd	Drop down, ye heavens	Adv p61	
Lole	Jesu, the very thought of thee	NOEAB p108	
Loosemore	O Lord, increase our faith	NCAB p284	
Loosemore	The Litany (BCP)	Ash p17	🟢
Lord	A prayer for peace	AfC4 p172	
Lord	Most glorious Lord of Lyfe!	AfC1 p101	
Lully (attrib.)	Far away, what splendour comes this way?	NOEAB p54	
Malcolm	Ingrediente Domino	Ash p92	
Manz	E'en so Lord Jesus, Quickly Come	Adv p72	
Marchant	The souls of the righteous	NCAB p443; OEAB p97	
Marenzio	O rex gloriae	1stCh p13	
Marenzio	Tribus miraculis	1stCh p16	
Marshall	The Litany (ASB)	Ash p24	
Mathias	A Babe is born	CfC3 p4	
Mathias	Lift up your heads, O ye gates	AfC1 p81	🟢
Mathias	Make a joyful noise (Jubilate Deo)	AfC4 p134	
Mathias	Salve regina	NCAB p404	
Mathias	Sir Christèmas	CfC2 p114	
McKie	We wait for thy loving kindness	AfC4 p77	🟢
Mendelssohn	Above all praise	NCAB p10; OEAB p74	
Mendelssohn	Hark! the herald angels sing	CfC1 p39 (with Willcocks descant), CfC3 p68	🟢
Mendelssohn	Hear my prayer	ECM1 p146	
Mendelssohn	How lovely are the messengers (from Saint Paul)	Adv p92	
Mendelssohn	Sleepers, wake	AfC1 p192	
Mendelssohn	When Jesus, our Lord	NCAB p512	
Monteverdi	Christe, Redemptor omnium	CfC3 p49	
Moore	Antiphon	NCAB p24	
Moore	Magnificat in B flat	Adv p121	
Morales	Peccantem me quotidie	Ash p27; 3rdCh p13	
Morales	Regina caeli	3rdCh p16	
Morales	Simile est regnum	3rdCh p19	
Morgan	A Palm Sunday Antiphon	NCAB p5	
Morley	Agnus Dei	Ash p33; 2ndCh p20	
Morley	Eheu, sustulerunt	Ash p139	
Morley	Nolo mortem peccatoris	NCAB p259; XVIAB p13; ECM p162	🟢
Mozart	Ave verum corpus	NCAB p48; NOEAB p14; OEAB p29	🟢
Mozart	Grosse Messe	Loose; Breitkopf edition	
Mudd	Let thy merciful ears, O Lord	NCAB p209; OBTA p147	
Mundy	O Lord, the maker of all things	NCAB p302; OBTA p240	
Near	There is no rose	Adv p184	🟢
Naylor	Vox dicentis: Clama	ECM1 p166	
Nicolai (arr. Bach, J.S.)	Wachet auf!	Adv p211	🟢
Oldroyd (arr.)	Ye watchers and ye holy ones	OEAB p84	
Ord	Adam lay ybounden	CfC2 p10	🟢
Ortiz	Ianitor caeli	3rdCh p23	
Ouseley	From the rising of the sun	AfC1 p49	
Ouseley	How goodly are thy tents	AfC1 p70	
Oxley	My shepherd is Lord	NCAB p238	
Palestrina	Adoramus te, Christe	NCAB p14	🟢
Palestrina	Alma redemptoris mater	1stCh p20	🟢
Palestrina	Benedictus qui venit (from Missa Quarta)	XVIAB p28	
Palestrina	Come, Thou Holy Spirit, come	OEAB p80	
Palestrina	Ego sum panis vivus	1stCh p23	🟢
Palestrina	Exaltabo te Domine	Loose. Chester edition	
Palestrina	Fuit homo missus a Deo	Adv p79	
Palestrina	Matin Responsory	Adv p130; CfC2 p68	🟢
Palestrina	Missa Aeterna Christi Munera	Loose. Chester edition	🟢
Palestrina	Missa Assumpta est Maria	Loose. Chester edition	
Palestrina	Missa Brevis	Loose. Chester edition	🟢
Palestrina	Missa Papae Marcelli	Loose. Chester edition	🟢
Palestrina	O Bone Iesu (4v)	OEAB p104	🟢
Palestrina	Salvator mundi	NCAB p401	🟢
Palestrina	Sanctus (from Missa Quarta)	XVIAB p51	
Palestrina	Sicut cervus	1stCh p27	🟢
Palestrina	Super flumina	1stCh p31	🟢
Palestrina	Vesper Responsory	Adv p203	🟢
Parry	My soul, there is a country	NCAB p244	🟢
Parry	I was glad when they said unto me	Loose. Novello edition	🟢
Parsons	Ave Maria	OBTA p32; ECM1 p181	🟢
Pärt	Bogoroditsye Dyevo	Adv p46	🟢
Pearsall	Ave verum corpus	NOEAB p18	
Pearsall	In dulci jubilo	CfC1 p42	🟢
Peeters	Ave verum corpus	Ash p110	
Pettman (arr.)	I saw a maiden	CfC2 p83	
Philips	Ascendit Deus	OBTA p22; ECM1 p187	🟢
Philips	Surgens Jesus	NCAB p431	
Piæ Cantiones (arr. Jaques)	Good King Wenceslas	CfC1 p34	
Piæ Cantiones (arr. Willcocks)	Of the Father's heart begotten	CfC2 p128	
Piæ Cantiones (arr. Woodward)	Up! good Christen folk, and listen	CfC1 p157	
Piæ Cantiones arr. Archer	Long ago, prophets knew	Adv p119	
Piccolo	O come, let us sing unto the Lord	NCAB p266	
Pitoni	Cantate Domino	NCAB p92; NOEAB p34; AfC1 p44	🟢
Poston	Jesus Christ the Apple Tree	Adv p113	🟢
Poston (arr.)	The Boar's head carol	CfC1 p117	
Praetorius	A great and mighty wonder	CfC1 p1	🟢
Praetorius	Omnis mundis jocundetur	CfC3 p144	
Praetorius	Psallite unigenito	CfC3 p146	
Praetorius	Puer natus est nobis	4thCh p28	
Praetorius	Salve rex noster	4thCh p29	
Psalmodia Sacra (arr. Willcocks)	Bethlehem, of noblest cities	CfC3 p40	
Purcell	Hear my prayer, O Lord	ECM1 p193	
Purcell	I was glad when they said unto me	ECM1 p199	
Purcell	Let mine eyes run down with tears	ECM1 p210	
Purcell	Lord, how long wilt thou be angry?	ECM1 p224	
Purcell	O God the King of glory	AfC1 p136	
Purcell	Rejoice in the Lord alway	NCAB p381	
Purcell	Remember not, Lord, our offences	ECM1 p232	
Purcell	Thou knowest, Lord	NCAB p463; NOEAB p236	🟢
Purcell, D.	I will thank thee, O Lord	NOEAB p96	
Rachmaninoff	To thee, O Lord	AfC1 p203	
Ravenscroft	Remember, O thou man	Adv p170	
Rawsthorne	Like as the hart	Ash p37	
Ridout	A Pure River of Water of Life	AfC4 p63	
Rivaflecha	Anima mea	3rdCh p26	
Rowley (arr.)	Shepherds loud their praises singing	OEAB p15	
Rudolph	Jesu, the very thought of thee	NOEAB p113	
Rudolph	Veiled in darkness	Adv p199	
Rutter	A Gaelic Blessing	NCAB p1	🟢
Rutter	Christ the Lord is risen again	AfC4 p33; Ash p194	
Rutter	Donkey carol	CfC3 p55	
Rutter	God be in my head	NCAB p141	
Rutter	Jesus Child	CfC3 p74	
Rutter	Nativity carol	CfC2 p16	
Rutter	O clap your hands	AfC4 p53	🟢
Rutter	Praise ye the Lord	AfC1 p184	
Rutter	Shepherd's pipe carol	CfC2 p39	🟢
Rutter	Star carol	CfC3 p157	
Rutter	The peace of God	NOEAB p215	
Rutter	Thy perfect love	NOEAB p238	
Rutter (arr.)	Angel tidings	CfC3 p106	
Rutter (arr.)	Child in a manger	CfC3 p42	
Rutter (arr.)	Cradle song	CfC3 p112	
Rutter (arr.)	Down in yon forest	CfC2 p32	
Rutter (arr.)	Flemish carol	CfC3 p31	
Rutter (arr.)	Here we come a-wassailing	CfC2 p51	🟢
Rutter (arr.)	I saw three ships	CfC3 p94	🟢
Rutter (arr.)	Il est né le divin enfant	CfC2 p74	🟢
Rutter (arr.)	In dulci jubilo	CfC3 p116	
Rutter (arr.)	King Jesus hath a garden	CfC3 p123	
Rutter (arr.)	Noël nouvelet	CfC2 p100	
Rutter (arr.)	O come, O come Immanuel	Adv p141	
Rutter (arr.)	Past three a clock	CfC2 p153	🟢
Rutter (arr.)	Quem pastores laudavere	CfC2 p166	
Rutter (arr.)	Quittez, Pasteurs	CfC2 p169	
Rutter (arr.)	Sans Day Carol	CfC2 p107	
Rutter (arr.)	The twelve days of Christmas	CfC2 p134	
Rutter (arr.)	Wexford Carol	CfC3 p69	🟢
Saint-Saëns	Ave verum corpus	NOEAB p21	
Saint-Saëns	Panis angelicus	NCAB p357	
Sanders	The Reproaches	Ash p143	
Sargent (arr.)	Zither Carol	CfC1 p32	
